id,text,authorid,lang,url
<built-in function id>,"Greenland looked very different. Scientists have reconstructed the ecosystem from 2 million years ago
https://t.co/eDRMYUw8jY
#medium #mediumwriters #history #greenland #life #lifelessons #science #research #study #blog #blogs #writer #writers #knowmore #facts #blogging #bloggers https://t.co/2D7AsPM8nO",1520115242134642690,en,https://t.co/eDRMYUw8jY
<built-in function id>,"RT @DarkEnergyTweet: Do animals think? The answer is not clear
https://t.co/g5TFJw9ACs
#medium #mediumwriters #animals #pets #nature #scien…",1520115242134642690,en,https://t.co/g5TFJw9ACs
<built-in function id>,"RT @DarkEnergyTweet: Did mammals benefit from the extinction of the dinosaurs? New discovery by paleontologists
https://t.co/f0zL3IBgnt
#me…",1520115242134642690,en,https://t.co/f0zL3IBgnt
<built-in function id>,"Where do strange magnetic anomalies on the Moon come from? Scientists claim to have discovered the cause of the phenomenon
https://t.co/VeHrO9mFQc
#medium #mediumwriters #space #cosmos #moon #science #research #study #life #lifelessons #blog #blogs #writer #writers #knowmore https://t.co/H9Juv3V5h7",1520115242134642690,en,https://t.co/VeHrO9mFQc
<built-in function id>,"A hidden message in a medieval manuscript left by a mysterious woman. Who was she?
https://t.co/onSQeRkCRQ
#medium #mediumwriters #science #technology #history #life #lifelessons #women #news #blog #blogs #writer #writers #knowmore #facts #blogging #bloggers #interesting https://t.co/ecN4Q8lH51",1520115242134642690,en,https://t.co/onSQeRkCRQ
<built-in function id>,"RT @DarkEnergyTweet: Trivia about bees. Is humanity really facing extinction without them? It’s more complicated
https://t.co/qBsmkBIjpx
#m…",1520115242134642690,en,https://t.co/qBsmkBIjpx
<built-in function id>,"RT @DarkEnergyTweet: African super telescope joins program to search for extraterrestrial intelligence Breakthrough Listen
https://t.co/K22…",1520115242134642690,en,
<built-in function id>,"RT @DarkEnergyTweet: Where will we pay tourism tax in 2023? The list of places is getting longer
https://t.co/6rg81LEQcG
#medium #mediumwri…",1520115242134642690,en,https://t.co/6rg81LEQcG
<built-in function id>,"RT @DarkEnergyTweet: Prehistoric zombie animals have been discovered. They survived the mass extinction, but were the “walking dead”
https:…",1520115242134642690,en,
<built-in function id>,"The largest Christmas Crib in the world has been placed in Spain. It is truly huge
https://t.co/z602XrabPn
#medium #mediumwriters #Christmas #christianity #culture #life #lifelessons #spain #travel #news #record #guinness #blog #blogs #writer #writers #knowmore #interesting #fact https://t.co/kF6ZlrVEmz",1520115242134642690,en,https://t.co/z602XrabPn
<built-in function id>,"RT @DarkEnergyTweet: How the Internet came to be — the story of an invention without which we cannot imagine life
https://t.co/nFZCEvASSF
#…",1520115242134642690,en,https://t.co/nFZCEvASSF
<built-in function id>,"RT @DarkEnergyTweet: Yellowstone super volcano hides much more liquid magma than thought. Are we in danger of a massive eruption?
https://t…",1520115242134642690,en,
<built-in function id>,"A gas giant that is twice as dense as Earth. How did such an unusual planet form? It’s still a mystery
https://t.co/DIuDfjuIJq
#medium #mediumwriters #planet #exoplanet #science #space #cosmos #universe #research #study #news #life #lifelessons #blog #blogs #article #articles https://t.co/AElc3tB9Lq",1520115242134642690,en,https://t.co/DIuDfjuIJq
<built-in function id>,"Scientists have discovered a new dinosaur. It looked like a duck and hunted like a penguin
https://t.co/t9IOAcLrLv
#medium #mediumwriters #dinosaur #dinosaurs #animals #nature #history #science #discovery #research #study #life #lifelessons #blog #blogs #article #articles #writer https://t.co/WC1sgmh0Sb",1520115242134642690,en,https://t.co/t9IOAcLrLv
<built-in function id>,"RT @DarkMatterPosts: How was coal formed? This process took millions of years. It created a fuel that harms the climate
#medium #mediumwrit…",1520115242134642690,en,
<built-in function id>,"50,000-Year-Old Zombie Virus Found in Permafrost
https://t.co/IH82n2eNK2
#medium #mediumwriters #zombie #virus #pandemic #news #science #life #lifelessons #health #blog #blogs #writer #writers #knowmore #interesting #news #facts #articles #article #blogging #blogger #bloggers",1520115242134642690,en,https://t.co/IH82n2eNK2
<built-in function id>,"RT @DarkMatterPosts: The world’s strangest foods. Would you dare to try even one of them?
https://t.co/PCmQWfy0mo
#medium #mediumwriters #f…",1520115242134642690,en,https://t.co/PCmQWfy0mo
<built-in function id>,"RT @DarkEnergyTweet: Dachshund bones were found under the Colosseum. Did the dogs fight each other in the arena?
https://t.co/TEXJgUitmZ
#m…",1520115242134642690,en,https://t.co/TEXJgUitmZ
<built-in function id>,"RT @DarkEnergyTweet: Omicron, gryphon, typhon, cerberus and other covid creatures. Is there anything to be afraid of?
https://t.co/Ptxf1XkF…",1520115242134642690,en,
<built-in function id>,"A “dwarf dinosaur” fossil has been found in Romania. It inhabited a prehistoric European island
https://t.co/MvneZCrMAe
#medium #mediumwriters #science #life #lifelessons #dinosaur #dinosaurs #discovery #news #nature #animals #blog #blogs #article #articles #writer #writers https://t.co/fuDP7Hs3yk",1520115242134642690,en,https://t.co/MvneZCrMAe
<built-in function id>,"RT @DarkMatterPosts: There, Christmas lasts all year round. Do you know which places we’re talking about?
https://t.co/ZpQFPCTv9Q
#medium #…",1520115242134642690,en,https://t.co/ZpQFPCTv9Q
<built-in function id>,"RT @DarkMatterPosts: Scientists have created a miniature space-time tunnel. For now, only in a quantum computer
https://t.co/argJf4U2XC
#me…",1520115242134642690,en,https://t.co/argJf4U2XC
<built-in function id>,"RT @DarkEnergyTweet: Italian town pays 30,000 euros to move. Where’s the catch?
https://t.co/heNtPL2Asz
#medium #mediumwriters #italy #life…",1520115242134642690,en,https://t.co/heNtPL2Asz
<built-in function id>,"RT @DarkEnergyTweet: A new way to combat global warming? Scientists want to fertilize the oceans with the help of nanoparticles
https://t.c…",1520115242134642690,en,
<built-in function id>,"Trivia about Iceland. 10 things you won’t know about the country unless you live there
https://t.co/K2LikwAHaz
#medium #mediumwriters #iceland #travel #traveling #culture #lifestyle #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #news #facts #articles https://t.co/THbdI8Jtpm",1520115242134642690,en,https://t.co/K2LikwAHaz
<built-in function id>,"RT @DarkMatterPosts: Saudi Arabia builds world’s largest airport — will handle 185 million passengers annually
https://t.co/XB7IKiQL4u
#med…",1520115242134642690,en,https://t.co/XB7IKiQL4u
<built-in function id>,"RT @DarkMatterPosts: Spain has become the European capital of rail transportation. It is a paradise for supporters of train travel
https://…",1520115242134642690,en,
<built-in function id>,"What did a medieval woman look like? Scientists have created a remarkable 3D model
https://t.co/cFvsAsArYx
#medium #mediumwriters #history #culture #medieval #science #lifestyle #life #lifelessons #blog #blogs #writer #writers #knowmore #facts #article #articles #interesting https://t.co/1EUCC49T4S",1520115242134642690,en,https://t.co/cFvsAsArYx
<built-in function id>,"RT @DarkEnergyTweet: Greta Thunberg has sued her home country of Sweden. What prompted the young activist to do so?
https://t.co/eFnwf8HkQk…",1520115242134642690,en,https://t.co/eFnwf8HkQk
<built-in function id>,"RT @DarkEnergyTweet: Earth and Moon photographed from Orion’s perspective. Artemis 1 mission has reached a critical point
https://t.co/tCLY…",1520115242134642690,en,
<built-in function id>,"RT @DarkMatterPosts: Indian tribes in North America. Who are the indigenous peoples of America?
https://t.co/H8SVETS50N
#medium #mediumwrit…",1520115242134642690,en,https://t.co/H8SVETS50N
<built-in function id>,"RT @DarkEnergyTweet: A great little leader who was panicky about cats. Here are surprising trivia about Napoleon Bonaparte
https://t.co/xBK…",1520115242134642690,en,
<built-in function id>,"RT @GlamStyle11: Full moon — superstitions. What did our ancestors believe in? What not to do during the full moon?
https://t.co/dJ7AVSTVKE…",1520115242134642690,en,https://t.co/dJ7AVSTVKE
<built-in function id>,"An invisible antivirus mask is being created. How will it work?
https://t.co/vvL73TrSvH
#medium #mediumwriters #health #COVID19 #COVID #SARSCoV2 #pandemic #technology #technews #science #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #articles #article https://t.co/hmbUH13ZVM",1520115242134642690,en,https://t.co/vvL73TrSvH
<built-in function id>,"RT @DarkMatterPosts: The world’s largest active volcano has erupted. Does the lava threaten the people of Hawaii?
https://t.co/1bEuHMThfh
#…",1520115242134642690,en,https://t.co/1bEuHMThfh
<built-in function id>,"RT @DarkMatterPosts: Montezuma’s treasure — what did Montezuma II do with his gold?
https://t.co/sroQjPr5Fb
#medium #mediumwriters #montezu…",1520115242134642690,en,https://t.co/sroQjPr5Fb
<built-in function id>,"RT @DarkEnergyTweet: Trivia about horses. How a small forest creature grew to symbolize strength, speed and freedom
https://t.co/D3URUg8z9q…",1520115242134642690,en,https://t.co/D3URUg8z9q
<built-in function id>,"RT @DarkEnergyTweet: Crocodiles have made their home in a toxic river in Costa Rica. Sewage apparently doesn’t bother them
https://t.co/OSv…",1520115242134642690,en,
<built-in function id>,"RT @DarkEnergyTweet: Snake Island off the coast of Brazil is so dangerous that entry has been banned
https://t.co/ADpapTTVwB
#medium #mediu…",1520115242134642690,en,https://t.co/ADpapTTVwB
<built-in function id>,"Trivia about hamsters. What should you know about them? These charming creatures lead a nocturnal lifestyle
https://t.co/vz97Ybe6ms
#medium #mediumwriters #animals #hamster #hamsters #pets #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #articles #article https://t.co/C3sLu6qCN8",1520115242134642690,en,https://t.co/vz97Ybe6ms
<built-in function id>,"RT @DarkMatterPosts: Not just Christmas. Holidays in December you might not have known about
https://t.co/sS66xcH4Q3
#medium #mediumwriters…",1520115242134642690,en,https://t.co/sS66xcH4Q3
<built-in function id>,"RT @DarkEnergyTweet: Trivia about the USA — find out the most interesting information about the United States
https://t.co/QR408N2JEx
#medi…",1520115242134642690,en,https://t.co/QR408N2JEx
<built-in function id>,"RT @DarkEnergyTweet: NASA has shown new images of the Moon’s surface — there are no better pictures since 1975
https://t.co/QecNYPFum9
#Med…",1520115242134642690,en,https://t.co/QecNYPFum9
<built-in function id>,"Ranking — The world’s most stressful airports.
https://t.co/j9Yb4NGD2E
#medium #mediumwriters #travel #traveling #Airport #stress #health #ranking #life #lifelessons #blog #blogs #writer #writers #knowmore #interesting #articles #article #facts #trivia https://t.co/sa4gZSoa8r",1520115242134642690,en,https://t.co/j9Yb4NGD2E
<built-in function id>,"RT @DarkMatterPosts: Dog or cat — which pet is better? The answer is not so obvious
https://t.co/SNPPT8n59m
#medium #mediumwriters #dogs #c…",1520115242134642690,en,https://t.co/SNPPT8n59m
<built-in function id>,"RT @DarkEnergyTweet: Meteorite impact allowed a glimpse into Mars’ crust
https://t.co/jDnpvIqmNP
#medium #mediumwriters #mars #redplanet #n…",1520115242134642690,en,https://t.co/jDnpvIqmNP
<built-in function id>,"RT @DarkEnergyTweet: These trivia facts about the Titanic shed new light on the disaster. There weren’t enough lifeboats, but that’s not al…",1520115242134642690,en,
<built-in function id>,"Trivia about rabbits. What should you know before taking care of a rabbit?
https://t.co/RsaixXFqD4
#animals #nature #pets #rabbit #rabbits #life #lifelessons #science #blog #blogs #writer #writers #knowmore #interesting #articles #article #facts #trivia https://t.co/8e4i5FAsv5",1520115242134642690,en,https://t.co/RsaixXFqD4
<built-in function id>,"RT @DarkEnergyTweet: The world’s oldest cat — the record holder with her age has surpassed the oldest living person, who is 118 years old
h…",1520115242134642690,en,
<built-in function id>,"RT @DarkEnergyTweet: Archaeologists have compared a discovery at the bottom of Lake Constance to Stonehenge. What did they find there?
http…",1520115242134642690,en,
<built-in function id>,"RT @DarkMatterPosts: What can we do to make our pets love us? Find out how to gain the trust of your dog, cat and other pets
https://t.co/g…",1520115242134642690,en,
<built-in function id>,"Charles V’s secret code broken after five centuries. Who wanted to kill the King of Spain?
https://t.co/QVZTknuKTs
#medium #mediumwriters #history #code #secret #cipher #life #lifelessons #news #research #study #blog #blogs #article #articles #writer #writers #knowmore #facts https://t.co/OpcP4f2cOS",1520115242134642690,en,https://t.co/QVZTknuKTs
<built-in function id>,"RT @DarkMatterPosts: The low level of the Mississippi River has uncovered a fossil of a long-extinct creature. What is this species?
https:…",1520115242134642690,en,
<built-in function id>,"RT @DarkMatterPosts: Trivia about Saudi Arabia — a country famous for its wealth and prohibitions
https://t.co/a7mvPU0but
#medium #mediumwr…",1520115242134642690,en,https://t.co/a7mvPU0but
<built-in function id>,"RT @DarkEnergyTweet: The world’s most expensive drug has been registered. For whom is it intended and how much does one dose cost?
https://…",1520115242134642690,en,
<built-in function id>,"RT @DarkEnergyTweet: Does Santa Claus exist? The true story of the Bishop of Myra
https://t.co/JtlNgv4DiO
#medium #mediumwriters #christmas…",1520115242134642690,en,https://t.co/JtlNgv4DiO
<built-in function id>,"RT @DarkEnergyTweet: Meet the “world’s oldest children” who were born from embryos frozen 30 years ago. This is a real record
https://t.co/…",1520115242134642690,en,
<built-in function id>,"A goldfish caught in France weighs as much as two dogs — but it’s still not the biggest in the area
https://t.co/1qq7rDbcmU
#medium #mediumwriters #fish #fishing #uk #life #lifelessons #science #lifestyle #news #nature #animals #blog #blogs #article #articles #writer #writers https://t.co/t8QadH1w4N",1520115242134642690,en,https://t.co/1qq7rDbcmU
<built-in function id>,"RT @DarkMatterPosts: Mysterious behavior of a flock of sheep in China. Why did they walk in circles for 12 days in a row?
https://t.co/nwrk…",1520115242134642690,en,
<built-in function id>,"RT @DarkMatterPosts: Mysterious coins found more than 300 years ago depict forgotten Roman emperor
https://t.co/65cpcTaEwu
#medium #mediumw…",1520115242134642690,en,https://t.co/65cpcTaEwu
<built-in function id>,"RT @DarkEnergyTweet: An invisible black hole has been found in the Tarantula nebula
https://t.co/ONNaveamlC
#medium #mediumwriters #space #…",1520115242134642690,en,https://t.co/ONNaveamlC
<built-in function id>,"RT @DarkEnergyTweet: Mysterious fragments of an ancient astronomical instrument have been discovered in an “assassin” castle
https://t.co/b…",1520115242134642690,en,
<built-in function id>,"RT @DarkEnergyTweet: More than 500 million years ago, not all animals had intestines, and they ate anyway. What else do the newly studied f…",1520115242134642690,en,
<built-in function id>,"RT @GlamStyle11: 10 proven ways to make sex last longer. Sex positions, stimulation…. What else?
https://t.co/je2fY6aKJv
#medium #mediumwri…",1520115242134642690,en,https://t.co/je2fY6aKJv
